cntr_tm,open,high,low,close,volume
20260623111400,52430,52530,52345,52480,35362
20260623111500,52475,52560,52440,52560,20089
20260623111600,52550,52560,52280,52295,47723
20260623111700,52305,52380,52200,52250,24926
20260623111800,52250,52395,52240,52350,61388
20260623111900,52350,52475,52295,52410,28805
20260623112000,52410,52435,52350,52430,15395
20260623112100,52430,52545,52340,52510,36869
20260623112200,52505,52510,52320,52415,46382
20260623112300,52410,52445,52320,52410,36440
20260623112400,52420,52495,52305,52365,45952
20260623112500,52385,52455,52350,52360,59339
20260623112600,52375,52410,52320,52400,12681
20260623112700,52415,52600,52390,52495,36798
20260623112800,52520,52600,52430,52555,43385
20260623112900,52550,52630,52445,52500,40055
20260623113000,52480,52535,52405,52435,42711
20260623113100,52435,52475,52380,52410,29127
20260623113200,52410,52410,52330,52375,11047
20260623113300,52375,52390,52305,52385,18197
20260623113400,52380,52420,52295,52315,35813
20260623113500,52310,52410,52295,52360,24807
20260623113600,52360,52375,52325,52355,8336
20260623113700,52355,52395,52275,52395,28996
20260623113800,52390,52390,52305,52320,14232
20260623113900,52325,52350,52245,52280,18794
20260623114000,52265,52395,52225,52365,23993
20260623114100,52385,52440,52350,52400,15393
20260623114200,52400,52435,52185,52205,32458
20260623114300,52205,52215,52105,52150,22609
20260623114400,52150,52400,52145,52380,19991
20260623114500,52390,52600,52345,52435,86407
20260623114600,52435,52435,52145,52170,60126
20260623114700,52185,52185,52070,52095,68094
20260623114800,52085,52250,52055,52195,99147
20260623114900,52175,52390,52150,52315,27634
20260623115000,52315,52435,52280,52395,48969
20260623115100,52395,52580,52375,52530,30937
20260623115200,52555,52765,52525,52765,47614
20260623115300,52775,52825,52665,52760,34240
20260623115400,52755,52785,52645,52690,46202
20260623115500,52660,52745,52635,52695,36342
20260623115600,52710,52850,52705,52810,25501
20260623115700,52810,52890,52680,52685,54147
20260623115800,52700,52700,52570,52615,25258
20260623115900,52615,52630,52535,52595,17174
20260623120000,52580,52630,52375,52395,38739
20260623120100,52375,52420,52290,52360,42979
20260623120200,52350,52360,52200,52300,39172
20260623120300,52330,52450,52275,52320,50490
20260623120400,52310,52340,52255,52300,19696
20260623120500,52295,52300,52210,52260,19876
20260623120600,52240,52260,52170,52230,23412
20260623120700,52235,52300,52205,52260,17376
20260623120800,52265,52265,52155,52195,22661
20260623120900,52180,52195,52105,52130,13895
20260623121000,52135,52135,52055,52090,82974
20260623121100,52090,52100,52005,52005,52660
20260623121200,52025,52040,51995,52020,89849
20260623121300,52040,52155,52020,52090,67447
20260623121400,52090,52175,52050,52065,34267
20260623121500,52065,52115,52000,52080,46566
20260623121600,52060,52100,52030,52060,24973
20260623121700,52060,52110,52000,52095,30271
20260623121800,52090,52095,52025,52040,18984
20260623121900,52040,52045,51990,52025,17398
20260623122000,52020,52105,51985,52015,28608
20260623122100,52005,52040,51935,51980,38233
20260623122200,51960,52015,51925,52015,36744
20260623122300,52000,52100,51975,52005,23472
20260623122400,52005,52090,52005,52070,21885
20260623122500,52060,52060,51925,51945,20374
20260623122600,51945,51990,51905,51940,16480
20260623122700,51930,51965,51875,51880,25324
20260623122800,51870,51970,51865,51915,23668
20260623122900,51895,51905,51820,51835,12277
20260623123000,51835,51850,51700,51740,62913
20260623123100,51730,51735,51630,51640,28131
20260623123200,51640,51655,51610,51625,35300
20260623123300,51630,51725,51525,51540,88704
20260623123400,51540,51540,51420,51435,99966
20260623123500,51435,51525,51420,51420,26639
20260623123600,51425,51445,51335,51445,75780
20260623123700,51435,51450,51275,51305,62714
20260623123800,51305,51365,51205,51310,56413
20260623123900,51365,51460,51290,51460,16435
20260623124000,51445,51450,51300,51370,15653
20260623124100,51360,51430,51350,51410,31775
20260623124200,51420,51520,51345,51495,54897
20260623124300,51500,51520,51390,51510,19714
20260623124400,51480,51605,51475,51575,32355
20260623124500,51590,51685,51520,51545,35511
20260623124600,51545,51640,51510,51535,34024
20260623124700,51535,51645,51465,51595,22222
20260623124800,51625,51645,51530,51605,18370
20260623124900,51605,51695,51580,51655,19729
20260623125000,51655,51855,51655,51855,22470
20260623125100,51845,51930,51790,51930,35599
20260623125200,51940,52035,51930,51985,26783
20260623125300,51985,52065,51915,52060,37638
20260623125400,52070,52125,52025,52080,39834
20260623125500,52055,52115,52000,52090,35416
20260623125600,52085,52230,52045,52055,39723
20260623125700,52085,52195,51980,52195,44477
20260623125800,52200,52340,52165,52295,31908
20260623125900,52295,52400,52270,52375,38846
20260623130000,52375,52440,52320,52430,43782
20260623130100,52430,52540,52300,52495,32744
20260623130200,52495,52495,52360,52365,17580
20260623130300,52385,52395,52260,52300,38359
20260623130400,52295,52445,52290,52410,76704
20260623130500,52400,52400,52290,52305,27706
20260623130600,52320,52420,52275,52335,25292
20260623130700,52335,52370,52255,52275,18863
20260623130800,52310,52400,52240,52260,41262
20260623130900,52260,52270,52105,52130,32262
20260623131000,52140,52185,52035,52085,56542
20260623131100,52072,52175,52045,52080,29763
20260623131200,52080,52135,52050,52085,18428
20260623131300,52100,52240,52100,52205,14603
20260623131400,52200,52210,52070,52140,28781
20260623131500,52140,52140,51960,51990,34472
20260623131600,51990,51990,51915,51925,22052
20260623131700,51925,51945,51860,51880,54549
20260623131800,51880,51900,51785,51890,56379
20260623131900,51895,51930,51775,51820,23476
20260623132000,51820,51830,51745,51795,23609
20260623132100,51795,51820,51705,51750,12800
20260623132200,51750,51780,51670,51680,11805
20260623132300,51695,51855,51685,51785,43643
20260623132400,51785,51860,51745,51860,10991
20260623132500,51860,51940,51820,51940,9888
20260623132600,51940,51970,51805,51830,31234
20260623132700,51830,51935,51810,51845,36303
20260623132800,51840,51915,51810,51855,34600
20260623132900,51850,52000,51825,51830,29589
20260623133000,51830,51895,51785,51820,45922
20260623133100,51815,51820,51700,51715,69820
20260623133200,51710,51940,51710,51885,80812
20260623133300,51915,51920,51760,51785,62052
20260623133400,51785,51835,51695,51715,82231
20260623133500,51745,51745,51640,51680,36481
20260623133600,51680,51710,51635,51705,31750
20260623133700,51685,51795,51630,51735,49826
20260623133800,51735,51745,51600,51615,60663
20260623133900,51605,51640,51575,51600,60182
20260623134000,51595,51610,51500,51500,45496
20260623134100,51505,51525,51455,51475,66577
20260623134200,51470,51495,51400,51400,80676
20260623134300,51400,51400,51350,51375,46516
20260623134400,51370,51380,51320,51340,48502
20260623134500,51340,51400,51270,51280,96429
20260623134600,51270,51310,51230,51230,68625
20260623134700,51230,51240,51195,51240,90786
20260623134800,51250,51295,51190,51190,95135
20260623134900,51210,51215,51170,51205,63118
20260623135000,51205,51205,51140,51140,57794
20260623135100,51140,51160,51095,51095,119142
20260623135200,51100,51170,51100,51140,77259
20260623135300,51140,51200,51065,51170,194008
20260623135400,51170,51170,51065,51065,33803
20260623135500,51070,51070,51005,51010,102684
20260623135600,51020,51035,50965,50985,161025
20260623135700,50980,51095,50950,51020,93060
20260623135800,51010,51035,50935,51002,79534
20260623135900,51002,51010,50860,50875,110664
20260623140000,50875,51035,50860,51015,97801
20260623140100,51015,51040,50875,50960,78161
20260623140200,50970,51100,50925,51050,62274
